Material,Price Units,Price,Price Year,Purity,Reference
Oxidation Media,$ / kg,1,2020,100.00%,"EPA Work Breakdown Structure Water Treatment Models (EPA-WBS, epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models)"
Oxygen,$ / kg,0.11,2020,100.00%,"Water Supply Evaluation Tool (WaterSET; Hadjikakou, M. et al., 2019, doi.org/10.1016/j.scitotenv.2019.03.288)"
Phosphate Esters,$ / kg,0.63,2020,100.00%,"CatCost v. 1.0.4 price survey (National Renewable Energy Lab: Golden, CO, USA, 2021, https://catcost.chemcatbio.org/)"
Phosphoric Acid,$ / kg,0.97,2020,100.00%,"CatCost v. 1.0.4 price survey (National Renewable Energy Lab: Golden, CO, USA, 2021, https://catcost.chemcatbio.org/)"
Potassium Chloride,$ / kg,1.36,2020,100.00%,
Potassium Permanganate,$ / kg,7.85,2016,100.00%,"Water Supply Evaluation Tool (WaterSET; Hadjikakou, M. et al., 2019, doi.org/10.1016/j.scitotenv.2019.03.288)"
Powder Activated Carbon,$ / kg,2.03,2016,100.00%,"Water Supply Evaluation Tool (WaterSET; Hadjikakou, M. et al., 2019, doi.org/10.1016/j.scitotenv.2019.03.288)"
Precipitation Inhibitor,$ / kg,0.37,2020,100.00%,
Rosin Amine Salts,$ / kg,0.5,2020,100.00%,"CatCost v. 1.0.4 price survey (National Renewable Energy Lab: Golden, CO, USA, 2021, https://catcost.chemcatbio.org/)"
Sand,$ / kg,0.510219804,2020,100.00%,
Soda Ash,$ / kg,0.19,2020,100.00%,
Sodium Hypochlorite,$ / kg,0.23,2020,15.00%,"Water Treatment Estimation Routine (WaTER, Bureau of Reclamation - now WT Cost II 1 Moch, I., Querns, W, M., and Steward, D.; WT  Cost II, Desalination and Water Purification Research and Development Program Report No. 130, February  2008.) "
Sodium Bisullfite,$ / kg,0.36,2020,100.00%,"CatCost v. 1.0.4 price survey (National Renewable Energy Lab: Golden, CO, USA, 2021, https://catcost.chemcatbio.org/)"
Sodium Chloride,$ / kg,0.08,2020,100.00%,
Sodium Hexametaphosphate,$ / kg,7.2,2020,100.00%,
Sodium Hydroxide,$ / kg,0.11,2020,100.00%,"Process Economics Program, IHS Markit"
Sulfuric Acid,$ / kg,0.12,2020,100.00%,
UV Bulbs,$ / kg,1,2020,100.00%,"EPA Work Breakdown Structure Water Treatment Models (EPA-WBS, epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models)"
Volatile Corrosion Inhibitor,$ / kg,0.38,2020,100.00%,
Sodium Tripolyphosphate,$ / kg,2.4,2018,100.00%,
Fluoride,$ / kg,1.34,2020,100.00%,"Water Supply Evaluation Tool (WaterSET; Hadjikakou, M. et al., 2019, doi.org/10.1016/j.scitotenv.2019.03.288)"
