CaseStudy,Reference,Scenario,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
emwd_,nawi,baseline,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd_,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd_,nawi,baseline,reverse_osmosis,treatment,menifee_a,decarbonator_a,outlet,"{""erd"": False}"
emwd_,nawi,baseline,reverse_osmosis,treatment,menifee_b,decarbonator_a,outlet,"{""erd"": False}"
emwd_,nawi,baseline,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd_,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd_,nawi,baseline,reverse_osmosis,treatment,perris_i_a,decarbonator_b,outlet,"{""erd"": False}"
emwd_,nawi,baseline,reverse_osmosis,treatment,perris_i_b,decarbonator_b,outlet,"{""erd"": False}"
emwd_,nawi,baseline,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd_,nawi,baseline,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd_,nawi,baseline,storage_tank,treatment,treated_storage,treated_water_pumping_station,outlet,"{""storage_time"": 3}"
emwd_,nawi,baseline,treated_water_pumping_station,use,treated_water_pumping_station,,,
emwd_,nawi,baseline,surface_discharge,waste,surface_discharge,,,"{""piping_distance"": 70,  'pipe_cost_case': 'emwd'}"
,,,,,,,,
emwd,nawi,dwi,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], ""piping_distance"": 70, ""pump"": True}"
emwd,nawi,dwi,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,dwi,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,reverse_osmosis,treatment,menifee_a,"decarbonator_a,deep_well_injection","outlet,waste","{""erd"": False}"
emwd,nawi,dwi,reverse_osmosis,treatment,menifee_b,"decarbonator_a,deep_well_injection","outlet,waste","{""erd"": False}"
emwd,nawi,dwi,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,reverse_osmosis,treatment,perris_i_a,"decarbonator_b,deep_well_injection","outlet,waste","{""erd"": False}"
emwd,nawi,dwi,reverse_osmosis,treatment,perris_i_b,"decarbonator_b,deep_well_injection","outlet,waste","{""erd"": False}"
emwd,nawi,dwi,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,dwi,treated_storage,treatment,treated_storage,treated_water_pumping_station,outlet,"{""storage_time"": 3}"
emwd,nawi,dwi,treated_water_pumping_station,use,treated_water_pumping_station,,,
emwd,nawi,dwi,deep_well_injection,waste,deep_well_injection,,,"{""piping_distance"": 70, 'lift_height': 400}"
,,,,,,,,
emwd,nawi,zld_a,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], ""piping_distance"": 70, ""pump"": True}"
