case_study,scenario,value,reference,variable
damodar,baseline,0.002,nawi,insurance_taxes_cost_factor
damodar,baseline,0.7,nawi,default_cap_scaling_exp
damodar,baseline,0.7,nawi,default_opex_scaling_exp
damodar,baseline,0,nawi,cap_by_equity
damodar,baseline,0.05,nawi,debt_interest_rate
damodar,baseline,0.1,nawi,exp_return_on_equity
damodar,baseline,3.4,nawi,default_tpec_multiplier
damodar,baseline,1.65,nawi,default_tic_multiplier
damodar,baseline,0.0005,nawi,salary_cost_factor
damodar,baseline,1,nawi,utilization_factor
emwd,baseline,2020,nawi,basis_year
emwd,baseline,california,nawi,location_basis
emwd,baseline,30,nawi,plant_lifetime
emwd,baseline,0.0015,nawi,land_cost_factor
emwd,baseline,0.05,nawi,working_capital_factor
emwd,baseline,0.001,nawi,salaries_percent
emwd,baseline,0.9,nawi,benefits_cost_factor
emwd,baseline,0.008,nawi,maintenance_cost_factor
emwd,baseline,0.003,nawi,laboratory_cost_factor
emwd,baseline,0.002,nawi,insurance_taxes_cost_factor
emwd,baseline,0.7,nawi,default_cap_scaling_exp
emwd,baseline,0.7,nawi,default_opex_scaling_exp
emwd,baseline,0,nawi,cap_by_equity
emwd,baseline,0.05,nawi,debt_interest_rate
emwd,baseline,0.1,nawi,exp_return_on_equity
emwd,baseline,3.4,nawi,default_tpec_multiplier
emwd,baseline,1.65,nawi,default_tic_multiplier
emwd,baseline,0.0005,nawi,salary_cost_factor
emwd,baseline,1,nawi,utilization_factor
gila_river,baseline,1,nawi,utilization_factor
gila_river,baseline,2020,nawi,basis_year
gila_river,baseline,arizona,nawi,location_basis
gila_river,baseline,30,nawi,plant_lifetime
gila_river,baseline,0.0015,nawi,land_cost_factor
gila_river,baseline,0.05,nawi,working_capital_factor
gila_river,baseline,0.001,nawi,salaries_percent
gila_river,baseline,0.9,nawi,benefits_cost_factor
gila_river,baseline,0.008,nawi,maintenance_cost_factor
gila_river,baseline,0.003,nawi,laboratory_cost_factor
gila_river,baseline,0.002,nawi,insurance_taxes_cost_factor
gila_river,baseline,0.7,nawi,default_cap_scaling_exp
gila_river,baseline,0.7,nawi,default_opex_scaling_exp
gila_river,baseline,0.4,nawi,cap_by_equity
gila_river,baseline,0.08,nawi,debt_interest_rate
gila_river,baseline,0.1,nawi,exp_return_on_equity
gila_river,baseline,3.4,nawi,default_tpec_multiplier
gila_river,baseline,1.65,nawi,default_tic_multiplier
gila_river,baseline,0.0005,nawi,salary_cost_factor
heap_leaching,baseline,2020,nawi,basis_year
heap_leaching,baseline,arizona,nawi,location_basis
heap_leaching,baseline,30,nawi,plant_lifetime
heap_leaching,baseline,0.0015,nawi,land_cost_factor
heap_leaching,baseline,0.05,nawi,working_capital_factor
heap_leaching,baseline,0.001,nawi,salaries_percent
heap_leaching,baseline,0.9,nawi,benefits_cost_factor
heap_leaching,baseline,0.008,nawi,maintenance_cost_factor
heap_leaching,baseline,0.003,nawi,laboratory_cost_factor
heap_leaching,baseline,0.002,nawi,insurance_taxes_cost_factor
heap_leaching,baseline,0.7,nawi,default_cap_scaling_exp
heap_leaching,baseline,0.7,nawi,default_opex_scaling_exp
heap_leaching,baseline,0.4,nawi,cap_by_equity
heap_leaching,baseline,0.08,nawi,debt_interest_rate
heap_leaching,baseline,0.1,nawi,exp_return_on_equity
heap_leaching,baseline,3.4,nawi,default_tpec_multiplier
heap_leaching,baseline,1.65,nawi,default_tic_multiplier
