case_study,scenario,value,reference,variable
test_plumlee,baseline,0.002,nawi,insurance_taxes_cost_factor
test_plumlee,baseline,0.7,nawi,default_cap_scaling_exp
test_plumlee,baseline,0.7,nawi,default_opex_scaling_exp
test_plumlee,baseline,0,nawi,cap_by_equity
test_plumlee,baseline,0.05,nawi,debt_interest_rate
test_plumlee,baseline,0.1,nawi,exp_return_on_equity
test_plumlee,baseline,3.4,nawi,default_tpec_multiplier
test_plumlee,baseline,1.65,nawi,default_tic_multiplier
test_plumlee,baseline,0.0005,nawi,salary_cost_factor
test_plumlee,baseline,1,nawi,utilization_factor
test,baseline,2020,nawi,basis_year
test,baseline,natioinal_industrial_average_oct_2020,nawi,location_basis
test,baseline,20,nawi,plant_lifetime
test,baseline,0.0015,nawi,land_cost_factor
test,baseline,0.05,nawi,working_capital_factor
test,baseline,0.001,nawi,salaries_percent
test,baseline,0.9,nawi,benefits_cost_factor
test,baseline,0.008,nawi,maintenance_cost_factor
test,baseline,0.003,nawi,laboratory_cost_factor
test,baseline,0.002,nawi,insurance_taxes_cost_factor
test,baseline,0.7,nawi,default_cap_scaling_exp
test,baseline,0.7,nawi,default_opex_scaling_exp
test,baseline,0,nawi,cap_by_equity
test,baseline,0.05,nawi,debt_interest_rate
test,baseline,0.1,nawi,exp_return_on_equity
test,baseline,3.4,nawi,default_tpec_multiplier
test,baseline,1.65,nawi,default_tic_multiplier
test,baseline,0.0005,nawi,salary_cost_factor
test,baseline,1,nawi,utilization_factor
tuscarora,baseline,2020,nawi,basis_year
tuscarora,baseline,nevada,nawi,location_basis
tuscarora,baseline,30,nawi,plant_lifetime
tuscarora,baseline,0.0015,nawi,land_cost_factor
tuscarora,baseline,0.05,nawi,working_capital_factor
tuscarora,baseline,0.001,nawi,salaries_percent
tuscarora,baseline,0.9,nawi,benefits_cost_factor
tuscarora,baseline,0.008,nawi,maintenance_cost_factor
tuscarora,baseline,0.003,nawi,laboratory_cost_factor
tuscarora,baseline,0.002,nawi,insurance_taxes_cost_factor
tuscarora,baseline,0.7,nawi,default_cap_scaling_exp
tuscarora,baseline,0.7,nawi,default_opex_scaling_exp
tuscarora,baseline,0.4,nawi,cap_by_equity
tuscarora,baseline,0.08,nawi,debt_interest_rate
tuscarora,baseline,0.1,nawi,exp_return_on_equity
tuscarora,baseline,3.4,nawi,default_tpec_multiplier
tuscarora,baseline,1.65,nawi,default_tic_multiplier
tuscarora,baseline,0.0005,nawi,salary_cost_factor
tuscarora,baseline,1,nawi,utilization_factor
upw,baseline,2020,nawi,basis_year
upw,baseline,texas,nawi,location_basis
upw,baseline,30,nawi,plant_lifetime
upw,baseline,0.0015,nawi,land_cost_factor
upw,baseline,0.05,nawi,working_capital_factor
upw,baseline,0.001,nawi,salaries_percent
upw,baseline,0.9,nawi,benefits_cost_factor
upw,baseline,0.008,nawi,maintenance_cost_factor
upw,baseline,0.003,nawi,laboratory_cost_factor
upw,baseline,0.002,nawi,insurance_taxes_cost_factor
upw,baseline,0.7,nawi,default_cap_scaling_exp
upw,baseline,0.7,nawi,default_opex_scaling_exp
upw,baseline,0,nawi,cap_by_equity
upw,baseline,0.05,nawi,debt_interest_rate
upw,baseline,0.1,nawi,exp_return_on_equity
upw,baseline,3.4,nawi,default_tpec_multiplier
upw,baseline,1.65,nawi,default_tic_multiplier
upw,baseline,0.0005,nawi,salary_cost_factor
upw,baseline,1,nawi,utilization_factor
uranium,baseline,2020,nawi,basis_year
uranium,baseline,wyoming,nawi,location_basis
uranium,baseline,30,nawi,plant_lifetime
uranium,baseline,0.0015,nawi,land_cost_factor
uranium,baseline,0.05,nawi,working_capital_factor
uranium,baseline,0.001,nawi,salaries_percent
uranium,baseline,0.9,nawi,benefits_cost_factor
uranium,baseline,0.008,nawi,maintenance_cost_factor
uranium,baseline,0.003,nawi,laboratory_cost_factor
uranium,baseline,0.002,nawi,insurance_taxes_cost_factor
uranium,baseline,0.7,nawi,default_cap_scaling_exp
uranium,baseline,0.7,nawi,default_opex_scaling_exp
uranium,baseline,0.4,nawi,cap_by_equity
uranium,baseline,0.08,nawi,debt_interest_rate
uranium,baseline,0.1,nawi,exp_return_on_equity
uranium,baseline,3.4,nawi,default_tpec_multiplier
uranium,baseline,1.65,nawi,default_tic_multiplier
uranium,baseline,0.0005,nawi,salary_cost_factor
uranium,baseline,1,nawi,utilization_factor
vogtle,baseline,2020,nawi,basis_year
vogtle,baseline,georgia,nawi,location_basis
vogtle,baseline,30,nawi,plant_lifetime
vogtle,baseline,0.0015,nawi,land_cost_factor
vogtle,baseline,0.05,nawi,working_capital_factor
vogtle,baseline,0.001,nawi,salaries_percent
vogtle,baseline,0.9,nawi,benefits_cost_factor
vogtle,baseline,0.008,nawi,maintenance_cost_factor
vogtle,baseline,0.003,nawi,laboratory_cost_factor
vogtle,baseline,0.002,nawi,insurance_taxes_cost_factor
vogtle,baseline,0.7,nawi,default_cap_scaling_exp
vogtle,baseline,0.7,nawi,default_opex_scaling_exp
vogtle,baseline,0.4,nawi,cap_by_equity
vogtle,baseline,0.08,nawi,debt_interest_rate
vogtle,baseline,0.1,nawi,exp_return_on_equity
vogtle,baseline,3.4,nawi,default_tpec_multiplier
vogtle,baseline,1.65,nawi,default_tic_multiplier
vogtle,baseline,0.0005,nawi,salary_cost_factor
vogtle,baseline,1,nawi,utilization_factor
